M,A,B,C,cas,casSeconds,casIS,pocetNezObj,pocetNezObjIS,vytA,vytAIS,vytB,vytBIS,vytC,vytCIS
55,6,7,35,86:18:50,310730.50205684226,<303900.9829;317560.0212>,149.23,<145.306;153.1496>,84.87,<84.8387;84.9063>,64.25,<64.2163;64.2755>,99.62,<99.6018;99.6394>
57,7,7,35,85:17:39,307059.222527834,<300967.3702;313151.0749>,146.43,<142.9257;149.9259>,74.12,<74.0844;74.1523>,64.38,<64.3489;64.4064>,99.61,<99.5884;99.6327>
55,5,5,41,35:19:37,127177.63657579555,<123111.2967;131243.9764>,49.32,<47.0217;51.6229>,97.74,<97.6793;97.807>,95.35,<95.2823;95.4269>,91.43,<91.3614;91.5043>
49,6,6,49,36:35:41,131741.51714321732,<127372.6268;136110.4075>,52.6,<50.1066;55.0876>,85.69,<85.6277;85.746>,79.33,<79.2711;79.3865>,75.84,<75.7887;75.8991>
50,5,6,45,47:38:25,171505.92526611988,<166536.7522;176475.0984>,74.69,<71.8533;77.5199>,95.86,<95.8203;95.9026>,78.29,<78.2451;78.3273>,82.09,<82.0458;82.1323>
49,7,5,44,57:54:29,208469.74738286177,<202947.0056;213992.4892>,94.89,<91.7277;98.0457>,75.89,<75.856;75.9229>,93.04,<92.9997;93.0734>,81.86,<81.8328;81.8916>
56,7,7,36,61:34:26,221666.20832448872,<216087.0268;227245.3898>,99.65,<96.4773;102.8289>,75.93,<75.8906;75.9628>,66.12,<66.0948;66.1547>,99.49,<99.4642;99.5205>
58,5,5,36,74:01:59,266519.7361359284,<260890.2329;272149.2394>,125.98,<122.7631;129.1955>,98.76,<98.7272;98.7899>,91.37,<91.3367;91.4093>,99.1,<99.0787;99.1302>
51,7,5,48,37:29:55,134995.2340771409,<130674.9199;139315.5482>,53.63,<51.1706;56.0879>,77.27,<77.213;77.3308>,94.92,<94.8627;94.9839>,76.64,<76.5876;76.6875>
56,5,5,36,74:50:26,269426.2820143994,<263706.6868;275145.8772>,127.98,<124.7;131.261>,98.53,<98.4973;98.556>,91.25,<91.2119;91.2822>,99.01,<98.9882;99.0335>
55,7,6,37,39:51:39,143499.9223454481,<138898.876;148100.9687>,56.8,<54.1874;59.4154>,77.65,<77.5885;77.7122>,78.94,<78.8891;78.9965>,99.08,<99.02;99.1435>
49,6,7,35,92:34:43,333283.14391125354,<327251.2842;339315.0036>,164.25,<160.8015;167.7064>,83.97,<83.9358;84.003>,63.99,<63.9619;64.0141>,99.32,<99.2987;99.3351>
54,5,5,42,38:01:24,136884.35888178775,<132616.6364;141152.0813>,54.92,<52.4941;57.3431>,97.25,<97.1859;97.3049>,95.04,<94.9742;95.1059>,89,<88.9393;89.0701>
50,5,6,38,61:28:17,221297.34340239776,<215576.1958;227018.491>,102.29,<99.0304;105.5562>,96.66,<96.629;96.6945>,77.18,<77.1505;77.2165>,95.56,<95.5311;95.597>
59,5,6,37,57:19:14,206354.10742668775,<200711.8092;211996.4056>,93.34,<90.1101;96.5694>,99.28,<99.2375;99.3194>,77.62,<77.58;77.6568>,98.46,<98.4201;98.5006>
56,7,5,35,84:21:25,303685.8570979161,<298264.4403;309107.2739>,144.82,<141.697;147.942>,74.61,<74.5813;74.6451>,90.19,<90.1497;90.2253>,99.61,<99.594;99.6313>
54,6,5,36,65:48:13,236893.51875981348,<231114.1696;242672.868>,109.34,<106.0297;112.6505>,87.15,<87.1131;87.189>,92.17,<92.1349;92.2136>,99.27,<99.2453;99.3012>
51,5,6,41,41:23:40,149020.15723922642,<144592.6974;153447.6171>,62.09,<59.5737;64.6043>,96.77,<96.7275;96.8182>,78.94,<78.8975;78.9908>,90.84,<90.7848;90.8892>
49,6,7,38,46:33:10,167590.6635035985,<162352.0782;172829.2488>,72.35,<69.368;75.3265>,85.7,<85.6529;85.7475>,67.32,<67.2829;67.3574>,96.66,<96.6152;96.7122>
59,5,6,39,34:23:24,123804.20778971145,<119673.6752;127934.7404>,47.73,<45.382;50.0729>,98.98,<98.9084;99.0559>,79.45,<79.381;79.5095>,95.92,<95.8442;95.9998>
51,5,7,37,66:00:27,237627.9485544429,<232041.6154;243214.2817>,111.28,<108.0824;114.4765>,97.48,<97.4495;97.5185>,65.83,<65.8063;65.8623>,97.52,<97.4853;97.5482>
52,7,5,45,32:34:49,117289.0847924688,<113319.281;121258.8886>,43.74,<41.4711;46.0031>,77.74,<77.6755;77.8098>,95.63,<95.5586;95.7035>,82.35,<82.2826;82.4084>
50,5,6,43,48:28:21,174501.29374434295,<169754.792;179247.7955>,76.44,<73.7301;79.144>,95.88,<95.8396;95.9236>,78.27,<78.2234;78.3095>,85.86,<85.8141;85.9049>
51,5,5,46,56:20:08,202808.38623144466,<197225.4604;208391.3121>,91.9,<88.7164;95.0902>,95.86,<95.8292;95.894>,93.08,<93.0464;93.1235>,79.49,<79.4542;79.5235>
52,5,5,48,48:14:02,173642.70775211998,<168830.0761;178455.3394>,75.52,<72.7733;78.2728>,96.33,<96.2867;96.3679>,93.91,<93.8678;93.9618>,76.92,<76.8763;76.9583>
51,6,5,48,40:51:03,147063.61290777486,<142379.3341;151747.8918>,60.44,<57.7838;63.1021>,86.59,<86.5382;86.6504>,94.59,<94.5358;94.6471>,76.77,<76.7225;76.8192>
51,7,6,35,86:02:41,309761.44379930303,<304033.5922;315489.2954>,150.03,<146.7364;153.3201>,74.12,<74.087;74.1495>,75.06,<75.0234;75.0884>,99.53,<99.5122;99.5555>
50,5,5,36,89:07:33,320853.7026596598,<314765.3691;326942.0362>,157.49,<153.9907;160.9961>,96.18,<96.146;96.2049>,89.8,<89.7659;89.8331>,97.48,<97.4518;97.5076>
