M,A,B,C,cas,casSeconds,casIS,pocetNezObj,pocetNezObjIS,vytA,vytAIS,vytB,vytBIS,vytC,vytCIS
56,7,7,43,12:27:47,44867.1639208931,<44423.5461;45310.7817>,3.92,<3.6612;4.1779>,76.65,<76.4504;76.856>,69.53,<69.3391;69.7129>,88.03,<87.7873;88.2726>
51,6,7,41,20:07:27,72447.08950359073,<70604.5097;74289.6693>,19.34,<18.298;20.3854>,86.34,<86.2328;86.4515>,69.06,<68.9642;69.1483>,92.13,<92.0033;92.2542>
59,5,5,42,26:15:30,94530.08375389178,<91524.9166;97535.2509>,31.03,<29.3331;32.7352>,97.81,<97.7186;97.8929>,96.24,<96.1365;96.342>,90.18,<90.087;90.2819>
58,7,7,39,17:58:27,64707.466085223095,<63158.5787;66256.3535>,13.32,<12.4539;14.1932>,78.49,<78.3625;78.6129>,69.24,<69.1419;69.3328>,96.35,<96.2168;96.4739>
56,6,7,45,12:36:40,45400.887068127944,<44953.3417;45848.4324>,4.46,<4.2039;4.7207>,85.65,<85.3753;85.9223>,69.4,<69.1444;69.659>,84.56,<84.237;84.8872>
52,7,6,46,15:36:30,56190.88760074582,<55433.9865;56947.7887>,10.17,<9.741;10.6015>,77.19,<77.0725;77.3026>,80.92,<80.8031;81.036>,82.06,<81.9454;82.1796>
54,7,5,39,28:53:26,104006.93452988843,<100561.9378;107451.9313>,35.76,<33.8083;37.7202>,78.2,<78.1171;78.2792>,95.82,<95.7357;95.9021>,95.15,<95.0669;95.2325>
58,7,6,41,13:27:49,48469.79839680114,<47987.1298;48952.467>,5.19,<4.9179;5.4539>,78.01,<77.8059;78.2097>,81.13,<80.9373;81.3172>,92.2,<91.9884;92.419>
55,6,5,48,24:39:21,88761.81879558033,<85801.365;91722.2726>,27.73,<26.0417;29.4134>,87.61,<87.5062;87.7167>,96.49,<96.3832;96.5976>,78.39,<78.3029;78.4794>
58,7,7,45,11:51:22,42682.17813385558,<42381.9177;42982.4385>,2.79,<2.6404;2.9471>,77.27,<76.091;78.4469>,70.39,<69.1189;71.6534>,85.33,<83.9768;86.6839>
55,5,7,48,20:38:05,74285.6490424288,<72180.5549;76390.7432>,20.65,<19.4417;21.8527>,97.02,<96.9199;97.1263>,69.07,<68.9752;69.1606>,79.4,<79.2839;79.5083>
58,5,7,42,21:43:48,78228.92994398653,<76174.3002;80283.5597>,22.75,<21.5793;23.9108>,97.83,<97.7207;97.9335>,68.97,<68.8862;69.0628>,90.51,<90.3924;90.6352>
57,7,5,48,20:27:22,73642.81035783491,<71596.4306;75689.1901>,18.83,<17.6679;19.9885>,78.07,<77.9532;78.1962>,96.65,<96.5235;96.7706>,78.14,<78.0339;78.2376>
51,6,6,39,28:47:40,103660.18815247726,<100116.2823;107204.094>,36.45,<34.4308;38.4616>,87.34,<87.2635;87.4251>,79.97,<79.8929;80.0382>,95.88,<95.7928;95.9632>
56,6,7,47,12:33:36,45216.536945158354,<44764.5907;45668.4832>,4.42,<4.1513;4.6899>,85.42,<85.1971;85.6454>,69.45,<69.2451;69.6624>,81.03,<80.7811;81.286>
57,7,7,39,17:40:02,63602.5967340907,<62258.793;64946.4005>,12.94,<12.1856;13.6888>,78.41,<78.2874;78.533>,69.19,<69.0978;69.2823>,96.3,<96.1689;96.4259>
54,6,5,39,31:40:21,114021.5182675028,<110285.7625;117757.2741>,41.5,<39.3947;43.6145>,88.4,<88.319;88.485>,95.7,<95.618;95.7814>,95.45,<95.3727;95.5369>
55,7,6,48,12:42:11,45731.702736557745,<45276.6922;46186.7133>,4.4,<4.1442;4.6653>,76.64,<76.4163;76.8731>,81.02,<80.7733;81.2619>,78.78,<78.5512;79.0114>
56,6,5,44,23:07:08,83228.28646712707,<80541.4388;85915.1342>,24.52,<22.9881;26.0455>,87.73,<87.6217;87.8443>,96.64,<96.5282;96.7545>,85.63,<85.5333;85.7353>
52,7,7,49,14:23:29,51809.42002199283,<51132.7742;52486.0658>,7.94,<7.5477;8.3283>,76.5,<76.3803;76.6192>,69.37,<69.2605;69.4826>,77.13,<77.0092;77.2576>
53,6,5,42,30:32:43,109963.24061995932,<106216.7869;113709.6944>,39.63,<37.499;41.7571>,87.46,<87.3692;87.5424>,95.77,<95.6767;95.8566>,88.81,<88.7289;88.8914>
58,6,5,46,20:37:45,74265.65786017949,<72203.191;76328.1247>,19.24,<18.0752;20.4105>,87.49,<87.3646;87.6129>,96.68,<96.5512;96.8043>,81.99,<81.8828;82.095>
53,7,5,45,26:59:32,97172.15125282331,<94076.5934;100267.7091>,32.33,<30.575;34.0912>,77.97,<77.8889;78.0559>,96.05,<95.9639;96.1396>,82.7,<82.6224;82.7768>
55,7,7,43,12:48:38,46118.591001092616,<45660.3181;46576.8639>,4.64,<4.3748;4.904>,76.72,<76.5342;76.9092>,69.61,<69.4347;69.778>,88.17,<87.9554;88.3896>
59,6,5,38,30:25:21,109521.98232728496,<105714.8841;113329.0806>,37.83,<35.6774;39.9782>,89.63,<89.524;89.7386>,95.85,<95.7582;95.9487>,97.99,<97.8945;98.0861>
58,6,6,42,13:14:39,47679.27377489049,<47204.0706;48154.4769>,5.32,<5.0422;5.588>,87.23,<87.0133;87.4477>,80.87,<80.6624;81.0724>,90.19,<89.9555;90.4182>
57,6,6,43,13:11:13,47473.78768533546,<47002.6577;47944.9176>,5.33,<5.06;5.6028>,86.9,<86.6624;87.1308>,81.16,<80.9393;81.3902>,88.52,<88.2704;88.7747>
59,5,6,49,18:17:22,65842.28521777633,<64610.1522;67074.4182>,15.83,<15.1235;16.5333>,97.09,<96.9853;97.1887>,80.83,<80.7186;80.9368>,78.07,<77.9605;78.1845>
59,6,7,39,18:44:25,67465.79797641757,<65909.3306;69022.2654>,15.07,<14.1986;15.9473>,89.34,<89.2003;89.4734>,69.19,<69.1;69.2871>,96.62,<96.4992;96.7497>
53,7,7,49,13:20:26,48026.514881100076,<47547.908;48505.1218>,5.85,<5.5727;6.1225>,76.46,<76.3146;76.6058>,69.51,<69.3703;69.6417>,77.33,<77.1815;77.4842>
58,6,7,42,13:06:50,47210.141813446375,<46741.854;47678.4296>,5.18,<4.9156;5.4464>,87.27,<87.0188;87.5181>,69.38,<69.1837;69.5716>,90.34,<90.0767;90.5991>
50,6,6,44,26:46:02,96362.40876723119,<93315.8744;99408.9431>,32.69,<30.9551;34.4291>,86.28,<86.1982;86.3628>,80.15,<80.077;80.2315>,85.36,<85.2732;85.4427>
56,7,6,38,25:18:46,91126.90970652294,<88283.3783;93970.4411>,27.87,<26.2602;29.4791>,78.51,<78.4096;78.6085>,80.15,<80.0644;80.2395>,98.03,<97.9302;98.1322>
54,6,5,40,29:12:45,105165.79942783366,<101620.0444;108711.5545>,36.8,<34.7831;38.8086>,88.09,<87.998;88.1773>,95.93,<95.838;96.0131>,93.36,<93.2729;93.4459>
59,7,5,46,19:19:13,69553.12064858721,<67866.9448;71239.2965>,16.28,<15.33;17.2289>,78.07,<77.9524;78.1885>,96.76,<96.6395;96.8743>,81.64,<81.536;81.7374>
57,5,7,44,20:08:51,72531.15336236863,<70669.6709;74392.6358>,19.7,<18.6333;20.7661>,97.42,<97.3109;97.5276>,69.22,<69.1183;69.3123>,86.77,<86.6477;86.8998>
55,5,7,47,20:00:41,72041.63021359929,<70315.1645;73768.096>,19.35,<18.3582;20.3349>,97.04,<96.9367;97.1339>,69.08,<68.9923;69.1699>,81.1,<80.9878;81.2065>
53,7,7,41,14:59:13,53953.54723789589,<53130.0138;54777.0807>,8.85,<8.3763;9.3179>,77.13,<77.0126;77.2456>,69.42,<69.3184;69.5214>,92.16,<92.0257;92.2973>
52,7,6,44,15:36:46,56206.27638543468,<55289.2646;57123.2882>,10.17,<9.6483;10.6955>,77.06,<76.9427;77.1741>,80.77,<80.6507;80.886>,85.6,<85.4722;85.7242>
59,6,5,44,20:08:48,72528.40073976018,<70577.7747;74479.0268>,18.16,<17.0597;19.2633>,87.66,<87.5338;87.7905>,96.77,<96.646;96.9024>,85.86,<85.74;85.9759>
57,6,7,40,15:37:47,56267.07572915873,<55499.4123;57034.7391>,9.78,<9.345;10.2175>,88.61,<88.4727;88.7548>,69.37,<69.2668;69.4698>,94.59,<94.4467;94.725>
54,6,7,42,14:17:44,51464.99181327619,<50923.507;52006.4767>,7.71,<7.393;8.018>,86.59,<86.4602;86.7197>,69.36,<69.2472;69.4658>,90.34,<90.1993;90.4905>
52,7,7,42,15:02:44,54164.73412854004,<53458.0658;54871.4025>,9.13,<8.7213;9.5323>,76.68,<76.5711;76.7919>,69.35,<69.2475;69.4462>,89.88,<89.7457;90.0112>
59,5,7,47,18:09:25,65365.62319968484,<64021.5556;66709.6908>,15.69,<14.9249;16.4605>,97.02,<96.9121;97.1366>,69.22,<69.1142;69.3174>,81.3,<81.173;81.4222>
58,6,7,40,15:37:57,56277.06851666075,<55504.7017;57049.4353>,9.65,<9.2159;10.0899>,88.75,<88.6036;88.8952>,69.37,<69.2711;69.4785>,94.59,<94.4432;94.7272>
55,5,6,40,30:06:59,108419.24361614077,<104812.2882;112026.199>,39.29,<37.2433;41.3333>,98.4,<98.317;98.476>,79.81,<79.7405;79.8866>,94.11,<94.0227;94.1992>
53,6,6,48,15:25:56,55556.49176814942,<54772.8148;56340.1688>,9.97,<9.5199;10.4173>,86.29,<86.1793;86.4063>,80.94,<80.8296;81.0589>,79.12,<79.0084;79.2375>
59,5,7,40,29:14:02,105242.0381296221,<101961.5282;108522.548>,37.68,<35.8135;39.5396>,98.76,<98.6785;98.8384>,68.65,<68.5857;68.7107>,94.43,<94.3398;94.5155>
54,7,5,48,25:15:17,90917.0611401738,<88039.2013;93794.921>,28.8,<27.1599;30.4307>,78.14,<78.0373;78.2423>,96.35,<96.2439;96.4601>,77.86,<77.7694;77.947>
54,7,7,39,19:07:20,68840.0885289715,<66974.8241;70705.3529>,16.55,<15.4876;17.6206>,78.17,<78.0398;78.2944>,69.22,<69.1172;69.3145>,96.35,<96.212;96.4858>
55,6,7,40,16:10:28,58228.41319081673,<57245.3043;59211.5221>,11.09,<10.5285;11.6534>,88.25,<88.1164;88.3905>,69.32,<69.2233;69.4243>,94.6,<94.4619;94.7393>
55,6,6,47,13:13:40,47620.45423285651,<47147.9028;48093.0056>,5.55,<5.2719;5.8243>,85.71,<85.5153;85.9034>,80.77,<80.5615;80.9689>,80.67,<80.4614;80.8696>
